instance_of,subclass
astronomical instrument,Astronomy and Planetary
astronomical object type,Astronomy and Planetary
astronomical observatory,Astronomy and Planetary
astronomical phenomenon,Astronomy and Planetary
astronomical survey,Astronomy and Planetary
celestial mechanics,Astronomy and Planetary
dwarf irregular galaxy,Astronomy and Planetary
g-type main-sequence star,Astronomy and Planetary
galaxy,Astronomy and Planetary
hypernova,Astronomy and Planetary
hypothetical astronomical object,Astronomy and Planetary
hypothetical star,Astronomy and Planetary
large quasar group,Astronomy and Planetary
lenticular galaxy,Astronomy and Planetary
planetary magnetic field,Astronomy and Planetary
pulsar,Astronomy and Planetary
quasar,Astronomy and Planetary
shell of an astronomical object,Astronomy and Planetary
star,Astronomy and Planetary
stellar wind,Astronomy and Planetary
stellar-wind bubble,Astronomy and Planetary
stellarator,Astronomy and Planetary
theoretical astronomy,Astronomy and Planetary
absorption spectroscopy,"Atomic, molecular, and optical physics"
atom model,"Atomic, molecular, and optical physics"
chemical element,"Atomic, molecular, and optical physics"
energy level,"Atomic, molecular, and optical physics"
exotic atom,"Atomic, molecular, and optical physics"
hydrogen line spectrum,"Atomic, molecular, and optical physics"
spectral class,"Atomic, molecular, and optical physics"
spectral line,"Atomic, molecular, and optical physics"
spectral series,"Atomic, molecular, and optical physics"
spectrum,"Atomic, molecular, and optical physics"
aerodynamics,Classical mechanics
altitude,Classical mechanics
aspect of sound,Classical mechanics
atmospheric electricity,Classical mechanics
color of noise,Classical mechanics
compressible flow,Classical mechanics
conservation law,Classical mechanics
electric current,Classical mechanics
electric process,Classical mechanics
electrical circuit,Classical mechanics
electrical element,Classical mechanics
electrical phenomenon,Classical mechanics
electromagnetic radiation,Classical mechanics
electromagnetic wave,Classical mechanics
equipotential surface,Classical mechanics
fictitious force,Classical mechanics
flow type,Classical mechanics
flux,Classical mechanics
force,Classical mechanics
frequency,Classical mechanics
ieee radio band,Classical mechanics
itu radio band,Classical mechanics
longitudinal wave,Classical mechanics
magnetic anomaly,Classical mechanics
magnetosphere,Classical mechanics
material flow,Classical mechanics
mathematical descriptions of the electromagnetic field,Classical mechanics
mechanical paradox,Classical mechanics
mechanical properties of fiber,Classical mechanics
mechanical property,Classical mechanics
motion,Classical mechanics
motions of the earth,Classical mechanics
noise,Classical mechanics
orbit,Classical mechanics
oscillation,Classical mechanics
potential,Classical mechanics
progressive wave,Classical mechanics
radio frequency range,Classical mechanics
radio interferometer,Classical mechanics
reference point,Classical mechanics
right-hand rule,Classical mechanics
scalar quantity,Classical mechanics
solar electric propulsion,Classical mechanics
sound,Classical mechanics
sound concept,Classical mechanics
speed,Classical mechanics
standing wave,Classical mechanics
tidal bore,Classical mechanics
tidal force,Classical mechanics
trajectory,Classical mechanics
transport phenomenon,Classical mechanics
type of equilibrium,Classical mechanics
vehicle axis,Classical mechanics
vortex ring,Classical mechanics
wave,Classical mechanics
